repoint_start_sec_sclk,repoint_start_subsec_sclk,repoint_end_sec_sclk,repoint_end_subsec_sclk,repoint_start_utc,repoint_end_utc,repoint_id
496695904,0,496696165,0,2025-09-27 19:05:04.422138,2025-09-27 19:09:25.421900,1
496836006,0,496836267,0,2025-09-29 10:00:06.294434,2025-09-29 10:04:27.294196,2
496922407,0,496922503,0,2025-09-30 10:00:07.215668,2025-09-30 10:01:43.215581,3
497008805,0,497008932,0,2025-10-01 10:00:05.136878,2025-10-01 10:02:12.136762,4
497095206,0,497095319,0,2025-10-02 10:00:06.057977,2025-10-02 10:01:59.057873,5
497181599,0,497181720,0,2025-10-03 09:59:58.979284,2025-10-03 10:01:59.979174,6
497268001,0,497268114,0,2025-10-04 10:00:00.900742,2025-10-04 10:01:53.900639,7
497354404,0,497354532,0,2025-10-05 10:00:03.822044,2025-10-05 10:02:11.821927,8
497440806,0,497440934,0,2025-10-06 10:00:05.743346,2025-10-06 10:02:13.743230,9
497527202,0,497527330,0,2025-10-07 10:00:01.664656,2025-10-07 10:02:09.664539,10
497613600,0,497613713,0,2025-10-08 09:59:59.585975,2025-10-08 10:01:52.585872,11
497700002,0,497700130,0,2025-10-09 10:00:01.507297,2025-10-09 10:02:09.507180,12
497797200,0,497797336,0,2025-10-10 12:59:59.418807,2025-10-10 13:02:15.418684,13
497872805,0,497872918,0,2025-10-11 10:00:04.349988,2025-10-11 10:01:57.349885,14
497959207,0,497959320,0,2025-10-12 10:00:06.271367,2025-10-12 10:01:59.271264,15
498045601,0,498045714,0,2025-10-13 10:00:00.192773,2025-10-13 10:01:53.192670,16
498142805,0,498142948,0,2025-10-14 13:00:04.104359,2025-10-14 13:02:27.104229,17
498218407,0,498218520,0,2025-10-15 10:00:06.035641,2025-10-15 10:01:59.035538,18
498319207,0,498319350,0,2025-10-16 14:00:05.944036,2025-10-16 14:02:28.943906,19
498384006,0,498384104,0,2025-10-17 08:00:04.885170,2025-10-17 08:01:42.885081,20
498477603,0,498477731,0,2025-10-18 10:00:01.800145,2025-10-18 10:02:09.800029,21
498564002,0,498564130,0,2025-10-19 10:00:00.721672,2025-10-19 10:02:08.721555,22
498650406,0,498650534,0,2025-10-20 10:00:04.643248,2025-10-20 10:02:12.643132,23
498736807,0,498736935,0,2025-10-21 10:00:05.564832,2025-10-21 10:02:13.564715,24
498823209,0,498823322,0,2025-10-22 10:00:07.486428,2025-10-22 10:02:00.486326,25
498909602,0,498909731,0,2025-10-23 10:00:00.408071,2025-10-23 10:02:09.407954,26
498983407,0,498983521,0,2025-10-24 06:30:05.341131,2025-10-24 06:31:59.341027,27
499082405,0,499082534,0,2025-10-25 10:00:03.251371,2025-10-25 10:02:12.251254,28
499152905,0,499153018,0,2025-10-26 05:35:03.187463,2025-10-26 05:36:56.187360,29
499255202,0,499255345,0,2025-10-27 10:00:00.094769,2025-10-27 10:02:23.094639,30
499354207,0,499354351,0,2025-10-28 13:30:05.005071,2025-10-28 13:32:29.004941,31
499428006,0,499428104,0,2025-10-29 10:00:03.938232,2025-10-29 10:01:41.938143,32
499514408,0,499514536,0,2025-10-30 10:00:05.859997,2025-10-30 10:02:13.859881,33
